Word,Weight,Effect
windows,-0.5106058975138408,negative
thanks,-0.3019850117513911,negative
dos,-0.23443046302766288,negative
university,-0.19740834828205478,negative
file,-0.18384722120909164,negative
program,-0.17851229825376827,negative
version,-0.1757052478764753,negative
pc,-0.17111886788937522,negative
graphics,-0.16838570517631193,negative
window,-0.16455316950460272,negative
software,-0.1641092211495301,negative
ms,-0.15467948352314084,negative
mail,-0.1546734294205811,negative
mac,-0.14902111889392822,negative
card,-0.14751183204372736,negative
files,-0.14647724788459143,negative
help,-0.14243588000647225,negative
ftp,-0.133273964652252,negative
access,-0.13311197139510816,negative
ca,-0.12876719493725436,negative
cco,0.1667312983648851,positive
armenian,0.1673688504615533,positive
said,0.1699838349752191,positive
turkish,0.17050149784429822,positive
political,0.17358955132052023,positive
years,0.1790524455680094,positive
don,0.18469973847186927,positive
think,0.1854438486473293,positive
writes,0.18939217237011408,positive
jon,0.20100243992738043,positive
morality,0.20179578204677995,positive
solntze,0.2166520706117056,positive
wpd,0.2167027341383626,positive
say,0.22162582063528963,positive
sgi,0.24056510818519436,positive
government,0.26126043195826193,positive
livesey,0.268168653829138,positive
keith,0.27443942982611585,positive
caltech,0.287332199157072,positive
people,0.3587489674136231,positive
