Word,Weight,Effect
windows,-0.238787570795195,negative
edu,-0.22867953703757893,negative
thanks,-0.21092428132796656,negative
host,-0.16920960591276538,negative
nntp,-0.16876645034218535,negative
posting,-0.16320114201457442,negative
university,-0.15588861853238484,negative
organization,-0.13117971915307947,negative
mit,-0.1303154935298786,negative
lines,-0.12816556542574736,negative
subject,-0.12770370535131592,negative
mail,-0.12219573798317884,negative
mac,-0.11800391578056717,negative
card,-0.11640368586451925,negative
dos,-0.11609273583325477,negative
version,-0.11316075681431335,negative
know,-0.11288351040004213,negative
window,-0.10889272279788625,negative
does,-0.10446753924601032,negative
help,-0.10397915047825401,negative
cramer,0.05113646972923436,positive
jesus,0.051896495862028685,positive
religion,0.05255537173350968,positive
netcom,0.05286043963703634,positive
waco,0.05303944000867246,positive
prism,0.053042817185806945,positive
batf,0.05340968584774629,positive
georgia,0.05476630221705216,positive
children,0.05652864859986427,positive
clipper,0.0578163992702662,positive
said,0.05820135772553001,positive
did,0.06030839064858696,positive
gatech,0.06200519414761281,positive
evidence,0.06307526648463808,positive
people,0.07058931799275647,positive
koresh,0.07285045724428443,positive
government,0.07568419066457871,positive
god,0.07751121670821728,positive
fbi,0.08731548423321564,positive
au,0.10286245350657952,positive
