Word,Weight,Effect
windows,-0.42362873105082954,negative
thanks,-0.3393686514084101,negative
edu,-0.32502281080477136,negative
university,-0.26260176643096594,negative
file,-0.2068523460379052,negative
mail,-0.2011850582202227,negative
dos,-0.19975070500170233,negative
organization,-0.18941614176603966,negative
lines,-0.1830897774896554,negative
host,-0.17993509563616653,negative
subject,-0.17920064834308855,negative
nntp,-0.1780476049255251,negative
posting,-0.17417838661191604,negative
program,-0.16983775223666953,negative
help,-0.16809423415531205,negative
files,-0.16165420201465613,negative
mit,-0.15960894756702643,negative
advance,-0.15232125474335387,negative
software,-0.1490721001608411,negative
internet,-0.14528868202534545,negative
christianity,0.09395968813479974,positive
morality,0.09459694711493796,positive
christ,0.09476667819730715,positive
armenian,0.09480888768576966,positive
fact,0.09543430908099784,positive
turkish,0.0965493982220972,positive
said,0.10252353262610085,positive
bible,0.11090055842905217,positive
netcom,0.11307213757283377,positive
digex,0.11473678177116618,positive
sandvik,0.11528639354604915,positive
believe,0.11551241377419103,positive
religion,0.1208413967235893,positive
christians,0.12558934731712076,positive
government,0.13522808618183682,positive
jesus,0.14251669251322346,positive
say,0.14577174146933458,positive
christian,0.1477408178955159,positive
people,0.17584723216351328,positive
god,0.24477837041507716,positive
