Word,Weight,Effect
windows,-0.3771527623970996,negative
thanks,-0.30633647422235466,negative
sale,-0.2369666586975504,negative
university,-0.2228361088574727,negative
card,-0.21453044543690655,negative
drive,-0.1995764546226523,negative
dos,-0.18515900837283844,negative
software,-0.1851209468312791,negative
pc,-0.18473853918342636,negative
ca,-0.17752607980464086,negative
host,-0.17709061119049263,negative
mac,-0.17682001187792817,negative
nntp,-0.17504506002105497,negative
mail,-0.17212545128964377,negative
posting,-0.16317474121174644,negative
edu,-0.1522275837699067,negative
file,-0.14857817930525624,negative
program,-0.14723988695110674,negative
monitor,-0.1463297304550976,negative
video,-0.14609681413259876,negative
bible,0.12173669843823291,positive
optilink,0.12179408847397641,positive
think,0.12366908331519827,positive
life,0.12489761406680056,positive
men,0.12671086571994647,positive
fact,0.12683169819338005,positive
article,0.12794540750989153,positive
did,0.13221548838718064,positive
cramer,0.13244148017292387,positive
christians,0.13704741264003617,positive
said,0.1399867995559136,positive
religion,0.14102983052371304,positive
writes,0.1516337608193798,positive
christian,0.15226957387119594,positive
jesus,0.1557101070952667,positive
say,0.16119320569232926,positive
government,0.16358934494852878,positive
believe,0.1736502767351993,positive
god,0.28570177520884754,positive
people,0.321279876656891,positive
