Word,Weight,Effect
windows,-0.1801416363516668,negative
thanks,-0.15605582576867497,negative
usa,-0.14673211051721294,negative
edu,-0.13571303530498696,negative
distribution,-0.12869987872378186,negative
mac,-0.1243586180440238,negative
nntp,-0.12000098931021669,negative
host,-0.11963814425671189,negative
posting,-0.11781875339818332,negative
monitor,-0.10944813703725562,negative
version,-0.10861764031849261,negative
mit,-0.1082357171441807,negative
stanford,-0.10403778650528701,negative
computer,-0.09865197379431048,negative
know,-0.09432365875487027,negative
ohio,-0.09346487863894679,negative
use,-0.09274752980847109,negative
dartmouth,-0.08460888431998298,negative
college,-0.08250067775098677,negative
help,-0.07832514774644599,negative
rights,0.07102221219263699,positive
kent,0.07136796306892572,positive
ai,0.07164922580200594,positive
nyx,0.07183029671685594,positive
pittsburgh,0.0720856728754149,positive
religion,0.07254958655751641,positive
islamic,0.0736757019105218,positive
___,0.0744688765047434,positive
right,0.07664629068807885,positive
netcom,0.07870995344517542,positive
uga,0.08224659973936324,positive
cmu,0.08476253946361248,positive
__,0.08753610470875334,positive
law,0.08864838357951016,positive
sandvik,0.0934380941178251,positive
people,0.09599757506146338,positive
cc,0.10157651444419286,positive
government,0.10380107865447777,positive
cs,0.1274770542735142,positive
god,0.13280782965937726,positive
