Word,Weight,Effect
edu,-0.3393185168442268,negative
windows,-0.2695944505946983,negative
host,-0.22946397560858833,negative
nntp,-0.22868342877632164,negative
posting,-0.2241892263020996,negative
mit,-0.2046520006115812,negative
thanks,-0.19343521941722408,negative
file,-0.18164863412916188,negative
problem,-0.173400439754816,negative
cleveland,-0.16712616222848842,negative
drive,-0.16704388995235106,negative
cwru,-0.15500491714288184,negative
program,-0.1542756079366035,negative
window,-0.15324831647178724,negative
help,-0.15151792528054078,negative
university,-0.14797205030568322,negative
know,-0.14190197850737088,negative
organization,-0.13661550215815715,negative
freenet,-0.1357538445429772,negative
lines,-0.12579327247517372,negative
intellect,0.06793407532879675,positive
cmu,0.06952587367125863,positive
sin,0.07085089916307538,positive
sandvik,0.07280372057304954,positive
bible,0.07375889315152107,positive
gov,0.07596042616141918,positive
men,0.0795373150533918,positive
christians,0.08304210179486389,positive
christ,0.08312953150626724,positive
christian,0.08457557406993191,positive
pittsburgh,0.08492720718896615,positive
science,0.09300606380387261,positive
nasa,0.10357149224957704,positive
jesus,0.12181462252584736,positive
cs,0.12898141188948453,positive
gordon,0.12970723997267272,positive
pitt,0.135370079104331,positive
banks,0.1358531311466293,positive
geb,0.1413653458204388,positive
god,0.1817747171309685,positive
