Word,Weight,Effect
windows,-0.33412407772598696,negative
host,-0.2565843717085721,negative
nntp,-0.25656373049235703,negative
com,-0.25195610702757576,negative
posting,-0.25144554035936517,negative
thanks,-0.24681614095973226,negative
uk,-0.2447798466895142,negative
ac,-0.22862232590966716,negative
edu,-0.2068493082934376,negative
ca,-0.20070622942328803,negative
file,-0.19115489563596338,negative
organization,-0.1741525126896374,negative
university,-0.1702767749478603,negative
lines,-0.16629215129571212,negative
subject,-0.16179995717859702,negative
dos,-0.15087349328310234,negative
window,-0.14958000614163336,negative
program,-0.14179628327593266,negative
files,-0.14032159000501718,negative
mit,-0.13882043464709648,negative
life,0.08997068682491435,positive
pat,0.09165842492548439,positive
pittsburgh,0.09230841259451646,positive
christianity,0.0948973868506354,positive
faith,0.09493031366464372,positive
sin,0.09559048610186519,positive
church,0.10633742188642392,positive
gordon,0.11225953140385538,positive
banks,0.12029256181928848,positive
bible,0.12155023715249032,positive
pitt,0.1216106627287658,positive
geb,0.12248012331618827,positive
christ,0.12917177481764885,positive
people,0.13489769218987824,positive
christians,0.1357800330059795,positive
christian,0.13588494634432985,positive
digex,0.1455587794580715,positive
access,0.1456982323679849,positive
jesus,0.1791888547111461,positive
god,0.27262870927605554,positive
