Word,Weight,Effect
edu,-0.24094363980270048,negative
university,-0.22690810184719895,negative
mit,-0.17088374395902808,negative
car,-0.1686909303558397,negative
david,-0.1616978048909175,negative
hp,-0.1449767513416257,negative
cc,-0.13177524235580518,negative
au,-0.12426927333195649,negative
uiuc,-0.12338476722861641,negative
ca,-0.11659918878792294,negative
buffalo,-0.11490688694818443,negative
god,-0.11487455885422852,negative
vax,-0.1124739957306584,negative
stanford,-0.11131139866778861,negative
software,-0.10760762046608141,negative
gun,-0.10687484595854993,negative
vms,-0.10095916732545498,negative
colorado,-0.09920487848115145,negative
illinois,-0.09907211769192992,negative
vnews,-0.09015500949541072,negative
stratus,0.11343352149417696,positive
bus,0.11364254039648271,positive
online,0.11530412843987797,positive
surrender,0.12241845961108605,positive
shameful,0.125277831188154,positive
intellect,0.12563663588796692,positive
cadre,0.12645175879024642,positive
skepticism,0.12708663041937004,positive
chastity,0.12800174940056588,positive
n3jxp,0.12859571415949594,positive
dsl,0.12866264767972893,positive
card,0.1530715054960767,positive
digex,0.1577003634007662,positive
access,0.19252756605580607,positive
cs,0.21063224612478243,positive
sun,0.24470037770212094,positive
banks,0.25251400096359783,positive
gordon,0.2573711987482621,positive
pitt,0.2646200105191292,positive
geb,0.2709157782819692,positive
