Word,Weight,Effect
edu,-0.3679341904469985,negative
university,-0.27449666245425464,negative
david,-0.2274244156652007,negative
god,-0.22499978427436268,negative
buffalo,-0.19087369659609243,negative
writes,-0.18092950230375965,negative
mit,-0.16721770608653058,negative
car,-0.1663903607821728,negative
virginia,-0.15878031265592357,negative
vax,-0.15848659280680266,negative
vms,-0.15546839599773277,negative
georgia,-0.1504864054502711,negative
au,-0.14364705569600011,negative
article,-0.143153740097355,negative
sgi,-0.14248753543074427,negative
rutgers,-0.13965430004859591,negative
vnews,-0.1360681339653931,negative
gatech,-0.13476110077548656,negative
uiuc,-0.13353813253862376,negative
apr,-0.13325325195686125,negative
stratus,0.15724336922527116,positive
soon,0.15807081061510014,positive
sun,0.17217691809799374,positive
surrender,0.1742923716388754,positive
pittsburgh,0.1773202979407431,positive
access,0.1775399252827104,positive
intellect,0.18070927341350482,positive
skepticism,0.18237665092721786,positive
shameful,0.18239781747263342,positive
cadre,0.18356226446874263,positive
columbia,0.18428793318068726,positive
chastity,0.18479141138481991,positive
n3jxp,0.18536053674671027,positive
dsl,0.18599808452895883,positive
card,0.19463405275029164,positive
cs,0.28457849450789796,positive
banks,0.36810908947166543,positive
gordon,0.3698428542534873,positive
pitt,0.37111951272992993,positive
geb,0.3910874139703518,positive
