Word,Weight,Effect
edu,-0.7199254585267462,negative
game,-0.44529287257461486,negative
university,-0.3675351542670042,negative
team,-0.35640583476304677,negative
games,-0.30399866708052664,negative
baseball,-0.29531315763972127,negative
year,-0.29310815157676,negative
ca,-0.2884637299841892,negative
uiuc,-0.2744081233962374,negative
players,-0.2718516609251794,negative
season,-0.228416067460395,negative
hockey,-0.22055104156503946,negative
player,-0.1965606357183456,negative
play,-0.19320776490361607,negative
league,-0.192775305063073,negative
cso,-0.1873574353575199,negative
mike,-0.18128897834202282,negative
pitt,-0.17375096291279832,negative
stanford,-0.16972950411069096,negative
braves,-0.16541312955517617,negative
security,0.15917128515740456,positive
9760,0.1591721748115048,positive
using,0.16649512648210613,positive
public,0.1720725568485108,positive
communications,0.18179356205293562,positive
data,0.19772027000770906,positive
408,0.19992829376701665,positive
file,0.20064341494494814,positive
ibm,0.2042070716033898,positive
keys,0.208605837558645,positive
escrow,0.2090962632826171,positive
use,0.24629081989114748,positive
access,0.24970187696133817,positive
encryption,0.2618268798110469,positive
government,0.2859655812226633,positive
chip,0.2867460321950296,positive
key,0.3053988718095789,positive
clipper,0.33948399681630537,positive
netcom,0.4252817148214571,positive
com,0.46892548786436916,positive
