Word,Weight,Effect
edu,-0.8884896756234507,negative
game,-0.7553854236641141,negative
university,-0.6831484170688613,negative
team,-0.6301583548894444,negative
ca,-0.5849324986616983,negative
games,-0.5103186808560792,negative
hockey,-0.49112913344072157,negative
year,-0.3784054404723356,negative
season,-0.37549851436972337,negative
cc,-0.3683852199116217,negative
players,-0.35924763990005115,negative
baseball,-0.3426840392266398,negative
play,-0.34138383221502144,negative
nhl,-0.3241795427931856,negative
win,-0.29699388876269023,negative
league,-0.2950394539486866,negative
buffalo,-0.2932424590203254,negative
player,-0.28781647084685463,negative
god,-0.2785723697220647,negative
toronto,-0.2679245717497504,negative
data,0.25659094530033305,positive
nasa,0.26805573001007404,positive
pat,0.2704764769992132,positive
gov,0.28891227761100174,positive
net,0.2957830492947304,positive
public,0.29927632679949456,positive
online,0.3160776810683428,positive
keys,0.3544080993254218,positive
escrow,0.3631513783793202,positive
use,0.36989145044423316,positive
communications,0.3916942551631165,positive
encryption,0.4555584196137755,positive
netcom,0.48706399376753434,positive
chip,0.4928392736389217,positive
key,0.5093878423467804,positive
government,0.5124254707159691,positive
digex,0.5335162941889753,positive
clipper,0.6063421767065046,positive
access,0.6834266723197723,positive
com,1.0087035032614253,positive
