Word,Weight,Effect
god,-0.6450209010720583,negative
university,-0.42445659979145534,negative
edu,-0.36347223148370483,negative
cleveland,-0.3616023401404322,negative
cwru,-0.3462563075677655,negative
jesus,-0.34085447682201914,negative
christian,-0.2794008385855436,negative
freenet,-0.2748782067434139,negative
bible,-0.2733952014775371,negative
christians,-0.26009214484958226,negative
christ,-0.2497404761875062,negative
ohio,-0.237944343833962,negative
western,-0.23205282985515197,negative
reserve,-0.21973876238225182,negative
faith,-0.21173561955986558,negative
ins,-0.2024382849364627,negative
rutgers,-0.19680929920658352,negative
christianity,-0.19126442201530158,negative
game,-0.18602863791048024,negative
sin,-0.18095699262438555,negative
space,0.25896509051370814,positive
article,0.26994185768031187,positive
chip,0.27663451271678063,positive
encryption,0.27748421900900094,positive
pat,0.27895279242369747,positive
communications,0.28677192953593034,positive
writes,0.29086450129036345,positive
key,0.29365711602386046,positive
gov,0.32441116207087306,positive
nasa,0.35732348844441747,positive
clipper,0.37641270826177486,positive
netcom,0.38426471890497815,positive
government,0.3849690476253582,positive
gordon,0.3965746662614439,positive
banks,0.3969153150869883,positive
pitt,0.40300411953144366,positive
geb,0.40839603709668143,positive
digex,0.43266139887946825,positive
access,0.4999425520849305,positive
com,0.8795916294309715,positive
