Word,Weight,Effect
virginia,-0.17881353793170807,negative
washington,-0.15201537293215,negative
thanks,-0.1359734213425571,negative
university,-0.13169838854817278,negative
sale,-0.13093593533269168,negative
indiana,-0.10881404776825915,negative
help,-0.09795844453936131,negative
distribution,-0.09647232810882989,negative
windows,-0.09060724627230102,negative
ucs,-0.09023927403894014,negative
email,-0.08418235339044014,negative
purdue,-0.08348618919118994,negative
edu,-0.08242595470802624,negative
organization,-0.08184168218132687,negative
mail,-0.08176889851775958,negative
lines,-0.08121883511863542,negative
software,-0.08020876641740217,negative
subject,-0.07933278917734025,negative
att,-0.07480506248585687,negative
keywords,-0.0741042000733639,negative
utexas,0.06379497974702915,positive
science,0.06478982271140621,positive
cwru,0.06527962326688129,positive
kent,0.0656626982629156,positive
religion,0.06694482033131051,positive
israel,0.06706758537987575,positive
think,0.069539934379958,positive
ins,0.07004576287519888,positive
game,0.07031086684300789,positive
net,0.0741683059338261,positive
cs,0.07724790279034205,positive
sandvik,0.08401408974457404,positive
believe,0.0904062617501699,positive
udel,0.09441696531127106,positive
digex,0.09873371229194625,positive
don,0.10255977172613781,positive
god,0.11368694020011799,positive
freenet,0.12070027026606986,positive
cleveland,0.1241072983359632,positive
people,0.1437708441294396,positive
