Word,Weight,Effect
com,-0.34467041329777726,negative
edu,-0.2762808480372301,negative
stanford,-0.1977040573213587,negative
people,-0.1610068261803858,negative
caltech,-0.160501564057189,negative
usa,-0.15853620130378432,negative
ca,-0.1517642982231589,negative
gun,-0.15070501985827958,negative
like,-0.1393872168377723,negative
know,-0.13771960858161073,negative
mac,-0.13592700723826118,negative
don,-0.1351615345228922,negative
distribution,-0.13388538084905174,negative
keith,-0.13185450659384243,negative
writes,-0.13171789219063887,negative
access,-0.12973061527831653,negative
organization,-0.12860247202731748,negative
subject,-0.1278425928274751,negative
lines,-0.12681160752454942,negative
au,-0.12411612431430082,negative
dsl,0.09889359542834099,positive
chastity,0.09926363694643146,positive
intellect,0.09974727422230086,positive
n3jxp,0.09977277607056342,positive
skepticism,0.10007488596998218,positive
dept,0.10387867436973341,positive
pittsburgh,0.11455048585718453,positive
nasa,0.1182681823886062,positive
tu,0.11830301936548522,positive
___,0.12399928167876693,positive
utexas,0.13091003741005436,positive
__,0.15312237826232716,positive
uk,0.15486265821350542,positive
science,0.16045594972288157,positive
ac,0.19338776881679043,positive
gordon,0.19349855916947897,positive
banks,0.19732828937889615,positive
pitt,0.19987676622803396,positive
geb,0.20914562682678,positive
cs,0.330195968342886,positive
