Word,Weight,Effect
netcom,-0.5896682809347354,negative
clipper,-0.5784253633351621,negative
key,-0.5016126003653151,negative
chip,-0.4588483860982985,negative
encryption,-0.42305650694679314,negative
david,-0.4005223493597976,negative
sternlight,-0.3540850903994737,negative
game,-0.34374155021298636,negative
god,-0.325127647395136,negative
keys,-0.322991581555675,negative
escrow,-0.3194717875710461,negative
cleveland,-0.3025032806842122,negative
freenet,-0.2644654266298855,negative
strnlght,-0.2537226200502314,negative
games,-0.25372199846181276,negative
crypto,-0.24854635630385633,negative
cwru,-0.23385882922405224,negative
apr,-0.23142191333009265,negative
jesus,-0.22814921758110518,negative
phone,-0.22386211023112987,negative
dseg,0.2929851175974247,positive
mission,0.3104813713660836,positive
online,0.32008725200500593,positive
alaska,0.35195143596660156,positive
zoology,0.36112614426822204,positive
orbit,0.3740121531718905,positive
shuttle,0.3880878154885352,positive
express,0.40132460825734484,positive
net,0.4286628858258641,positive
spencer,0.44403905017879913,positive
toronto,0.4561933487591149,positive
prb,0.46386440092540465,positive
zoo,0.5041062755026633,positive
pat,0.6262743386926349,positive
gov,0.6576795943955047,positive
henry,0.7138033864251226,positive
access,0.7660657767865021,positive
space,0.8206972892077521,positive
nasa,0.8848686141012339,positive
digex,0.9163599768298866,positive
