Word,Weight,Effect
windows,-0.6644938454765515,negative
edu,-0.6261124439567474,negative
university,-0.5273685561435314,negative
thanks,-0.4589799199796199,negative
ac,-0.3560155614394316,negative
uk,-0.3227641297131998,negative
organization,-0.31422189261612005,negative
lines,-0.31324569976129024,negative
subject,-0.3129756548653675,negative
dos,-0.3082125463802343,negative
file,-0.3045049813350365,negative
help,-0.29553198706479866,negative
host,-0.28787892900763173,negative
nntp,-0.28566324609922233,negative
posting,-0.2843814068820918,negative
does,-0.2755437598213172,negative
know,-0.26177628196506586,negative
window,-0.23626340971312504,negative
version,-0.23409874510358814,negative
program,-0.23067463034319283,negative
year,0.09419981038494797,positive
nsa,0.09813113880545285,positive
private,0.10090629224792974,positive
clinton,0.1030042082310914,positive
turkish,0.1038147291477273,positive
armenian,0.1054555243790809,positive
sternlight,0.10917929146466013,positive
fbi,0.11096098774546924,positive
sandvik,0.11284395585148893,positive
communications,0.11478595400873381,positive
keys,0.12133024841033244,positive
pat,0.12259218857753065,positive
chip,0.1315430436051079,positive
key,0.1424570609289863,positive
escrow,0.14627318344066328,positive
encryption,0.15668364026873952,positive
digex,0.16423078891151488,positive
netcom,0.18199568017184226,positive
clipper,0.22159090244327515,positive
government,0.2752514965602962,positive
