Word,Weight,Effect
com,-0.8955694775340043,negative
netcom,-0.3781378174046659,negative
ca,-0.31480785734395433,negative
windows,-0.2949878024529947,negative
god,-0.2464928387787889,negative
andrew,-0.24596572556732732,negative
writes,-0.22344561401507906,negative
cmu,-0.22146087790350005,negative
sun,-0.2204472462844006,negative
organization,-0.2108625722311534,negative
don,-0.20957601132095216,negative
sgi,-0.2080123375507159,negative
bike,-0.20616348588750064,negative
thanks,-0.19288974431232625,negative
know,-0.19160196323263196,negative
lines,-0.18650315575741744,negative
nntp,-0.18378099617893637,negative
good,-0.18154181598454316,negative
subject,-0.18093292783940648,negative
posting,-0.1801068575961457,negative
arab,0.24656272827204084,positive
cleveland,0.2509094454226718,positive
today,0.254619887319835,positive
people,0.25859460844458887,positive
war,0.27322873850066076,positive
state,0.28097484138433204,positive
soviet,0.28248194426490103,positive
sera,0.28307701427991155,positive
jews,0.29190054852560904,positive
zuma,0.29781228836947093,positive
turks,0.31626746258628513,positive
israeli,0.3420221728542026,positive
armenia,0.35441520273421057,positive
serdar,0.36087005504073727,positive
government,0.36165465334669655,positive
argic,0.3641588109663949,positive
israel,0.3968757192152526,positive
armenians,0.3974568467746025,positive
turkish,0.4369856865976472,positive
armenian,0.43935386313927277,positive
