Word,Weight,Effect
windows,-0.33616455039985127,negative
thanks,-0.26720780385446447,negative
help,-0.14636836767318034,negative
file,-0.14620428070879055,negative
dos,-0.14285592443240236,negative
window,-0.135262059188651,negative
program,-0.13039230395283866,negative
email,-0.12242394792231737,negative
version,-0.12234598430894872,negative
mail,-0.11678348393974564,negative
advance,-0.11616914974153783,negative
files,-0.11539058641455477,negative
hi,-0.11070250734610206,negative
university,-0.10976157110147433,negative
graphics,-0.10860606270584042,negative
ftp,-0.10376577354483474,negative
ms,-0.10136142024925111,negative
keywords,-0.09957304775983672,negative
screen,-0.09948404738438102,negative
host,-0.09577868996778677,negative
gay,0.11056838927323756,positive
believe,0.11139301657085465,positive
clayton,0.11365141560770511,positive
kent,0.1158862258920788,positive
israel,0.1185409237004896,positive
com,0.12003581484072047,positive
right,0.12197177368010344,positive
law,0.12275272311475746,positive
think,0.13027591756688556,positive
clipper,0.1356975869552789,positive
uk,0.13969223584725785,positive
don,0.14095516418755089,positive
sandvik,0.14421898279556186,positive
say,0.14752633392656278,positive
optilink,0.14825338367476432,positive
cramer,0.1583048883761874,positive
article,0.20183132590611907,positive
government,0.2119881786291483,positive
writes,0.22022550465084895,positive
people,0.2899970583545039,positive
