Word,Weight,Effect
windows,-0.411384219392226,negative
thanks,-0.3938879249926099,negative
edu,-0.32560787950515724,negative
university,-0.27179214490689185,negative
card,-0.251037770388326,negative
host,-0.2287403437748116,negative
nntp,-0.22681960439011106,negative
posting,-0.2186810355594485,negative
drive,-0.2094772830034054,negative
pc,-0.20208763997505205,negative
organization,-0.20092674615357134,negative
lines,-0.19865718939310853,negative
dos,-0.19858178497212428,negative
version,-0.19570303859976743,negative
subject,-0.19216179191082575,negative
mac,-0.1906630648987287,negative
video,-0.1891704858093544,negative
file,-0.18870977540375397,negative
mail,-0.18869841032824725,negative
computer,-0.1875278035368864,negative
jews,0.12116342934899704,positive
children,0.12487138065322666,positive
think,0.12670521850621844,positive
right,0.12705644844404812,positive
fbi,0.12780959866019076,positive
god,0.12848411931532847,positive
rights,0.12900733242705148,positive
today,0.12970121505684215,positive
say,0.13258692682174805,positive
armenian,0.13289095242755888,positive
believe,0.1335131828466158,positive
turkish,0.1346727825985578,positive
did,0.13763060440871966,positive
israel,0.13823574955750031,positive
netcom,0.14265648480358717,positive
clipper,0.14566195253834488,positive
law,0.15492290779629164,positive
said,0.15730091676401597,positive
government,0.2976817442376394,positive
people,0.32275957336140954,positive
